route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
267-13167,DEC22-D09CAR-1_Weekday,10267000950952-DEC22,,1,2670100,2670095_DEC22,57078970-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951119-DEC22,,1,2670400,2670095_DEC22,57078971-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951148-DEC22,,1,2670100,2670095_DEC22,57078972-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951247-DEC22,,1,2670200,2670095_DEC22,57078973-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951347-DEC22,,1,2670100,2670095_DEC22,57078974-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951517-DEC22,,1,2670400,2670095_DEC22,57078975-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951617-DEC22,,1,2670300,2670095_DEC22,57078976-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951717-DEC22,,1,2670400,2670095_DEC22,57078977-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951817-DEC22,,1,2670300,2670095_DEC22,57078978-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000952011-DEC22,,1,2670300,2670095_DEC22,57078979-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000930946-DEC22,,0,2670200,2670093_DEC22,57078980-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000931146-DEC22,,0,2670200,2670093_DEC22,57078981-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000931046-DEC22,,0,2670100,2670093_DEC22,57078982-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000931216-DEC22,,0,2670400,2670093_DEC22,57078983-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000931346-DEC22,,0,2670200,2670093_DEC22,57078984-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000931446-DEC22,,0,2670100,2670093_DEC22,57078985-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951217-DEC22,,1,2670300,2670095_DEC22,57078986-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951417-DEC22,,1,2670300,2670095_DEC22,57078987-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951317-DEC22,,1,2670400,2670095_DEC22,57078988-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000950853-DEC22,,1,2670200,2670095_DEC22,57078989-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951019-DEC22,,1,2670300,2670095_DEC22,57078990-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951049-DEC22,,1,2670200,2670095_DEC22,57078991-DEC22-D09CAR-1_Weekday
267-13167,DEC22-D09CAR-1_Weekday,10267000951847-DEC22,,1,2670200,2670095_DEC22,57078993-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000150801-DEC22,,0,2650100,2650015_DEC22,57079120-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000160635-DEC22,,1,2650100,2650016_DEC22,57079121-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161330-DEC22,,1,2650300,2650016_DEC22,57079122-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161430-DEC22,,1,2650200,2650016_DEC22,57079123-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161530-DEC22,,1,2650100,2650016_DEC22,57079124-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161731-DEC22,,1,2650200,2650016_DEC22,57079125-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161832-DEC22,,1,2650100,2650016_DEC22,57079126-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000162035-DEC22,,1,2650200,2650016_DEC22,57079127-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000150702-DEC22,,0,2650200,2650015_DEC22,57079128-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151257-DEC22,,0,2650200,2650015_DEC22,57079129-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151658-DEC22,,0,2650100,2650015_DEC22,57079130-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151759-DEC22,,0,2650300,2650015_DEC22,57079131-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000152003-DEC22,,0,2650100,2650015_DEC22,57079132-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161630-DEC22,,1,2650300,2650016_DEC22,57079133-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151457-DEC22,,0,2650300,2650015_DEC22,57079134-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161230-DEC22,,1,2650100,2650016_DEC22,57079135-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151058-DEC22,,0,2650100,2650015_DEC22,57079136-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000150901-DEC22,,0,2650300,2650015_DEC22,57079137-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000150959-DEC22,,0,2650200,2650015_DEC22,57079138-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151158-DEC22,,0,2650300,2650015_DEC22,57079139-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000160833-DEC22,,1,2650200,2650016_DEC22,57079140-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000160933-DEC22,,1,2650100,2650016_DEC22,57079141-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161033-DEC22,,1,2650300,2650016_DEC22,57079142-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161130-DEC22,,1,2650200,2650016_DEC22,57079143-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151557-DEC22,,0,2650200,2650015_DEC22,57079144-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151356-DEC22,,0,2650100,2650015_DEC22,57079145-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000151903-DEC22,,0,2650200,2650015_DEC22,57079146-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000150504-DEC22,,0,2650100,2650015_DEC22,57079147-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000160733-DEC22,,1,2650300,2650016_DEC22,57079148-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000160535-DEC22,,1,2650200,2650016_DEC22,57079149-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000161935-DEC22,,1,2650300,2650016_DEC22,57079150-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-1_Weekday,10265000150603-DEC22,,0,2650300,2650015_DEC22,57079151-DEC22-D09CAR-1_Weekday
265-13167,DEC22-D09CAR-2_Saturday,60265000150824-DEC22,,0,2650300,2650015_DEC22,57079159-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000160752-DEC22,,1,2650200,2650016_DEC22,57079160-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161349-DEC22,,1,2650200,2650016_DEC22,57079161-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161452-DEC22,,1,2650100,2650016_DEC22,57079162-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161552-DEC22,,1,2650300,2650016_DEC22,57079163-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161752-DEC22,,1,2650100,2650016_DEC22,57079164-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161852-DEC22,,1,2650300,2650016_DEC22,57079165-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161953-DEC22,,1,2650200,2650016_DEC22,57079166-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000150725-DEC22,,0,2650100,2650015_DEC22,57079167-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151320-DEC22,,0,2650100,2650015_DEC22,57079168-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151725-DEC22,,0,2650300,2650015_DEC22,57079169-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151826-DEC22,,0,2650200,2650015_DEC22,57079170-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151926-DEC22,,0,2650100,2650015_DEC22,57079171-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161652-DEC22,,1,2650200,2650016_DEC22,57079172-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151523-DEC22,,0,2650200,2650015_DEC22,57079173-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000161249-DEC22,,1,2650300,2650016_DEC22,57079174-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151121-DEC22,,0,2650300,2650015_DEC22,57079175-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000150923-DEC22,,0,2650200,2650015_DEC22,57079176-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151022-DEC22,,0,2650100,2650015_DEC22,57079177-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000151221-DEC22,,0,2650200,2650015_DEC22,57079178-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000160851-DEC22,,1,2650100,2650016_DEC22,57079179-DEC22-D09CAR-2_Saturday
265-13167,DEC22-D09CAR-2_Saturday,60265000160951-DEC22,,1,2650300,2650016_DEC22,57079180-DEC22-D09CAR-2_Saturday
