service_id,date,exception_type
JUNE22-D02CAR-1_Weekday-KINGMS1,20220714,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220714,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220714,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220714,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220714,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220714,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220715,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220715,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220715,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220715,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220715,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220715,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220718,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220718,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220718,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220718,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220718,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220718,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220719,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220719,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220719,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220719,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220719,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220719,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220720,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220720,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220720,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220720,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220720,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220720,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220721,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220721,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220721,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220721,2
JUNE22-D02CAR-1_Weekday-SANTHB0,20220721,2
JUNE22-D02CAR-1_Weekday-SANTHA0,20220721,2
JUNE22-D02CAR-1_Weekday-KINGMS1,20220722,2
JUNE22-D02CAR-1_Weekday-KINGMB0,20220722,2
JUNE22-D02CAR-1_Weekday-KINGMA0,20220722,2
JUNE22-D02CAR-1_Weekday-SANTHS1,20220722,2
